Overall	Text
-1	how can you not love obama he makes jokes about himself
0	check this video out president obama at the white house correspondents dinner
1	watchin espn jus seen this new nike commerical with a puppet lebron sh t was hilarious laugh my ass off
1	lebron best athlete of our generation if not all time basketball related i do not want to get into inter sport debates about 1 2
1	lebron is a beast but i m still cheering 4 the a til the end
0	lebron is the boss
0	lebron is a beast nobody in the nba comes even close
-1	good news just had a call from the visa office saying everything is fine what a relief i am sick of scams out there stealing
0	in montreal for a long weekend of randr much needed
-1	rt i love the nerdy stanford human biology videos makes me miss school
0	is going to sleep then on a bike ride
0	is in san francisco at bay to breakers
0	just landed at san francisco
0	san francisco today any suggestions
0	on my way to see star trek the esquire
0	going to see star trek soon with my dad
0	bill simmons in conversation with malcolm gladwell
0	oh my god the commercials alone on espn are going to drive me nuts
1	playing with curl and the twitter api
0	hello twitter api wink
1	playing with java and the twitter api
0	yahoo answers can be a butt sometimes
1	just changed my default pic to a nike basketball cause bball is awesome
0	nike owns nba playoffs ads w lebron kobe carmelo adidas billups howard marketing branding
0	next time i ll call myself nike
-1	new blog post nike sb dunk low premium white gum
1	by the way i m totally inspired by this freaky nike commercial
0	brand new canon eos 50d 15mp dslr camera canon 17 85mm is lens web technology thread brand new canon eos 5
-1	took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus
0	nvidia names stanford s bill dally chief scientist vp of research
-1	omgg i ohhdee want mcdonalds damn i wonder if its open laugh out loud happy
-1	it s a bank holiday yet i m only out of work now exam season sucks
0	cheney and bush are the real culprits
0	jquery ui 1 6 book review
0	oh my god i have a g2
1	guess i ll be retiring my g1 and start using my developer g2 woot googleio
0	at gwt fireside chat
-1	judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best
0	here s a case study on how to use viral marketing to add over 10 000 people to your list
-1	watching night at the museum laugh my ass off
0	going to see the new night at the museum movie with my family oh boy a three year old in the movies fuin
0	going to see night at the museum 2 with tall boy
1	night at the museum wolverine and junk food perfect monday
-1	i saw night at the museum battle of the swithsonian today it was okay your typical kids ben stiller movie
0	taking katie to see night at the museum she picked it
0	gm says expects announcment on sale of hummer soon reuters wdsugm says expects announcment on sale of hummer
-1	tell me again why we are giving more to gm we should use that for all the programs that support the unemployed
1	oh yes but if gm dies it will only be worth more boo hahaha
0	time warner cable is down again 3rd time since memorial day bummer
-1	i hate time warner soooo wish i had vios can not watch the fricken mets game w o buffering i feel like im watching free internet porn
